district_name,week_end_sunday,imd_weekly_rainfall_mm
Bagalkot,2023-12-10,0.3285427706109153
Bagalkot,2023-12-17,0.0
Bagalkot,2023-12-24,0.0
Bagalkot,2023-12-31,0.0
Bagalkot,2024-01-07,0.724972837501102
Bagalkot,2024-01-14,0.0
Bagalkot,2024-01-21,0.0
Bagalkot,2024-01-28,0.0
Bagalkot,2024-02-04,0.0
Bagalkot,2024-02-11,0.0
Bagalkot,2024-02-18,0.0
Bagalkot,2024-02-25,0.0
Bagalkot,2024-03-03,0.0
Bagalkot,2024-03-10,0.0
Bagalkot,2024-03-17,0.0
Bagalkot,2024-03-24,0.0
Bagalkot,2024-03-31,2.0945593979623585
Bagalkot,2024-04-07,0.0
Bagalkot,2024-04-14,7.072304467360178
Bagalkot,2024-04-21,7.84223236143589
Bagalkot,2024-04-28,3.0991379337178335
Bagalkot,2024-05-05,0.0
Bagalkot,2024-05-12,1.8140276347597442
Bagalkot,2024-05-19,45.18475911683507
Bagalkot,2024-05-26,13.91729005591737
Bagalkot,2024-06-02,5.018678691652086
Bagalkot,2024-06-09,97.31579322947395
Bagalkot,2024-06-16,45.98375824093819
Bagalkot,2024-06-23,15.342214956879616
Bagalkot,2024-06-30,3.136646255850792
Bagalkot,2024-07-07,6.28291853186157
Bagalkot,2024-07-14,23.202228914532395
Bagalkot,2024-07-21,18.449099163214367
Bagalkot,2024-07-28,14.673643911878269
Bagalkot,2024-08-04,5.163821286625333
Bagalkot,2024-08-11,23.075248943434822
Bagalkot,2024-08-18,29.360804225007694
Bagalkot,2024-08-25,29.413245418833363
Bagalkot,2024-09-01,10.639015417959955
Bagalkot,2024-09-08,10.78964199953609
Bagalkot,2024-09-15,7.722408721016513
Bagalkot,2024-09-22,1.7932204736603632
Bagalkot,2024-09-29,40.057472709152435
Bagalkot,2024-10-06,13.955225694510672
Bagalkot,2024-10-13,32.322310629818176
Bagalkot,2024-10-20,46.179497541652786
Bagalkot,2024-10-27,4.447479433483548
Bagalkot,2024-11-03,0.9886636137962341
Bagalkot,2024-11-10,0.0
Bagalkot,2024-11-17,1.413724190658993
Bagalkot,2024-11-24,0.0
Bagalkot,2024-12-01,0.0
Bagalkot,2024-12-08,4.535310324695375
Bagalkot,2024-12-15,4.671583904160394
Bagalkot,2024-12-22,0.017354885737101238
Bagalkot,2024-12-29,0.05515537659327189
Bagalkot,2025-01-05,0.0
Ballari,2015-01-04,0.31383755803108215
Ballari,2015-01-11,0.0
Ballari,2015-01-18,0.0
Ballari,2015-01-25,0.0
Ballari,2015-02-01,0.0
Ballari,2015-02-08,0.0
Ballari,2015-02-15,0.0
Ballari,2015-02-22,0.0
Ballari,2015-03-01,0.3621676921844482
Ballari,2015-03-08,3.267896592617035
Ballari,2015-03-15,7.969627857208252
Ballari,2015-03-22,0.0
Ballari,2015-03-29,0.0
Ballari,2015-04-05,0.39015614092350004
Ballari,2015-04-12,6.163139152526855
Ballari,2015-04-19,27.951110987365247
Ballari,2015-04-26,20.310718762874604
Ballari,2015-05-03,1.9482647776603699
Ballari,2015-05-10,12.218655529618264
Ballari,2015-05-17,19.698325538635252
Ballari,2015-05-24,0.04891076385974884
Ballari,2015-05-31,18.834774768352506
Ballari,2015-06-07,17.209261761605738
Ballari,2015-06-14,11.054713541269301
Ballari,2015-06-21,13.015970993041993
Ballari,2015-06-28,5.775633081793785
Ballari,2015-07-05,7.116475450992584
Ballari,2015-07-12,9.547805780172348
Ballari,2015-07-19,8.925640812516214
Ballari,2015-07-26,12.450924026966094
Ballari,2015-08-02,8.777151307463647
Ballari,2015-08-09,14.610726052522658
Ballari,2015-08-16,18.057909347116947
Ballari,2015-08-23,29.061789938807486
Ballari,2015-08-30,15.163688039779665
Ballari,2015-09-06,34.58745975494385
Ballari,2015-09-13,137.68544988632203
Ballari,2015-09-20,13.701952546834946
Ballari,2015-09-27,20.60466181635857
Ballari,2015-10-04,12.608988839387894
Ballari,2015-10-11,66.46674453914166
Ballari,2015-10-18,3.5801107466220854
Ballari,2015-10-25,0.0
Ballari,2015-11-01,2.8199756503105164
Ballari,2015-11-08,3.453576958179474
Ballari,2015-11-15,0.1790415644645691
Ballari,2015-11-22,3.574029752612114
Ballari,2015-11-29,0.33316540718078613
Ballari,2015-12-06,3.326366999745369
Ballari,2015-12-13,0.0
Ballari,2015-12-20,0.0
Ballari,2015-12-27,0.0
Ballari,2016-01-03,0.0
Ballari,2016-01-10,0.0
Ballari,2016-01-17,0.0
Ballari,2016-01-24,9.210864043235778
Ballari,2016-01-31,0.0
Ballari,2016-02-07,0.0
Ballari,2016-02-14,0.0
Ballari,2016-02-21,0.0
Ballari,2016-02-28,0.0
Ballari,2016-03-06,0.0
Ballari,2016-03-13,0.0
Ballari,2016-03-20,0.0
Ballari,2016-03-27,0.0
Ballari,2016-04-03,6.068441879749298
Ballari,2016-04-10,0.0
Ballari,2016-04-17,0.0
Ballari,2016-04-24,0.4850176811218262
Ballari,2016-05-01,1.5331285834312438
Ballari,2016-05-08,12.33370876610279
Ballari,2016-05-15,0.2220442295074463
Ballari,2016-05-22,12.699907159805297
Ballari,2016-05-29,24.33497223854065
Ballari,2016-06-05,47.46526073813438
Ballari,2016-06-12,8.074301597476005
Ballari,2016-06-19,21.077771827578545
Ballari,2016-06-26,20.369240483641626
Ballari,2016-07-03,31.506136941909787
Ballari,2016-07-10,8.28700065612793
Ballari,2016-07-17,1.0511965304613113
Ballari,2016-07-24,27.201199755072594
Ballari,2016-07-31,61.20718760490417
Ballari,2016-08-07,3.290731978416443
Ballari,2016-08-14,2.42688792347908
Ballari,2016-08-21,7.191289126873016
Ballari,2016-08-28,0.7566013604402542
