district,week_start,week_end_sunday,iso_year,iso_week,imd_rain_mm,week_start_imd,nasa_prectotcorr,T2M_MAX,T2M_MIN,T2M,RH2M
Bagalkot,2016-05-16,2016-05-22,2016,20,29.887212248312103,2016-05-23,18.72,39.64428571428572,26.287142857142857,32.70428571428572,45.71
Bagalkot,2016-05-23,2016-05-29,2016,21,0.0,2016-05-30,14.95,38.291428571428575,24.731428571428573,30.318571428571428,58.83428571428571
Bagalkot,2016-05-30,2016-06-05,2016,22,32.271127869685486,2016-06-06,4.12,37.17142857142857,24.875714285714285,30.24285714285714,55.96857142857142
Bagalkot,2016-06-06,2016-06-12,2016,23,25.829470874534717,2016-06-13,25.31,34.55428571428571,24.33857142857143,28.83142857142857,64.26857142857143
Bagalkot,2016-06-13,2016-06-19,2016,24,27.022212207317352,2016-06-20,15.659999999999998,32.59285714285714,22.525714285714287,26.60571428571429,69.97571428571429
Bagalkot,2016-06-20,2016-06-26,2016,25,11.217625121275583,2016-06-27,19.54,32.70142857142857,22.610000000000003,26.792857142857144,69.96714285714286
Bagalkot,2016-06-27,2016-07-03,2016,26,6.261114507085747,2016-07-04,21.43,30.345714285714283,21.552857142857142,25.208571428571428,75.61428571428571
Bagalkot,2016-07-04,2016-07-10,2016,27,7.190700397723251,2016-07-11,23.42,30.212857142857143,22.667142857142856,25.698571428571427,78.1842857142857
Bagalkot,2016-07-11,2016-07-17,2016,28,25.51419013573064,2016-07-18,39.89,29.87857142857143,22.59714285714286,25.54,78.64
Bagalkot,2016-07-18,2016-07-24,2016,29,31.972469026843704,2016-07-25,15.6,30.91,21.724285714285717,25.397142857142857,77.64857142857143
Bagalkot,2016-07-25,2016-07-31,2016,30,26.24143262124724,2016-08-01,33.7,28.65857142857143,21.46142857142857,24.38,81.17857142857143
Bagalkot,2016-08-01,2016-08-07,2016,31,17.179966283341248,2016-08-08,61.72,28.397142857142857,21.24285714285714,24.21857142857143,82.73428571428572
Bagalkot,2016-08-08,2016-08-14,2016,32,4.941803139944871,2016-08-15,26.65,29.27285714285714,21.474285714285717,24.562857142857144,80.90428571428572
Bagalkot,2016-08-15,2016-08-21,2016,33,1.0253259258137808,2016-08-22,10.89,30.13,21.135714285714283,24.77142857142857,79.43714285714286
Bagalkot,2016-08-22,2016-08-28,2016,34,9.129338496261171,2016-08-29,6.109999999999999,31.485714285714288,20.801428571428573,25.23428571428571,76.84714285714287
Bagalkot,2016-08-29,2016-09-04,2016,35,4.200595083336036,2016-09-05,12.89,30.897142857142857,21.34142857142857,25.33428571428572,77.82428571428571
Bagalkot,2016-09-05,2016-09-11,2016,36,0.637988837228881,2016-09-12,7.81,29.812857142857144,20.92142857142857,24.574285714285715,78.08714285714287
Bagalkot,2016-09-12,2016-09-18,2016,37,52.54724656542143,2016-09-19,8.350000000000001,31.07857142857143,19.90571428571429,24.514285714285712,72.86285714285715
Bagalkot,2016-09-19,2016-09-25,2016,38,25.193900143106777,2016-09-26,42.21,28.648571428571422,20.704285714285717,23.85571428571429,80.60142857142857
Bagalkot,2016-09-26,2016-10-02,2016,39,20.72394064731068,2016-10-03,34.6,28.29142857142857,20.90714285714285,23.794285714285717,83.55999999999999
Bagalkot,2016-10-03,2016-10-09,2016,40,0.2952588465478685,2016-10-10,7.41,30.047142857142852,21.037142857142857,24.71,79.24142857142859
Bagalkot,2016-10-10,2016-10-16,2016,41,10.79794371459219,2016-10-17,7.64,31.34857142857143,20.15142857142857,24.75714285714286,75.75142857142858
Bagalkot,2016-10-17,2016-10-23,2016,42,0.0,2016-10-24,4.1,31.924285714285716,18.695714285714285,24.62,64.85428571428572
Bagalkot,2016-10-24,2016-10-30,2016,43,0.0,2016-10-31,0.0,32.287142857142854,16.68285714285714,23.604285714285712,57.92142857142857
Bagalkot,2016-10-31,2016-11-06,2016,44,0.7200097309218513,2016-11-07,0.2,32.42285714285714,17.085714285714285,24.01571428571429,61.37285714285714
Bagalkot,2016-11-07,2016-11-13,2016,45,0.0,2016-11-14,0.0,32.98428571428571,17.13,24.17,55.651428571428575
Bagalkot,2016-11-14,2016-11-20,2016,46,0.0,2016-11-21,1.06,32.64714285714286,14.481428571428571,22.857142857142858,44.42142857142857
Bagalkot,2016-11-21,2016-11-27,2016,47,0.0,2016-11-28,6.140000000000001,31.99285714285714,17.295714285714286,23.645714285714284,54.91
Bagalkot,2016-11-28,2016-12-04,2016,48,0.0,2016-12-05,0.0,33.44571428571429,13.565714285714288,22.38714285714286,34.738571428571426
Bagalkot,2016-12-05,2016-12-11,2016,49,0.0,2016-12-12,1.01,33.22,17.564285714285713,24.645714285714288,45.99714285714286
Bagalkot,2016-12-12,2016-12-18,2016,50,0.4784279151095284,2016-12-19,0.0,31.21142857142857,13.041428571428572,21.397142857142857,33.86857142857143
Bagalkot,2016-12-19,2016-12-25,2016,51,0.0,2016-12-26,1.89,31.81571428571429,17.91142857142857,24.23,52.74142857142857
Bagalkot,2016-12-26,2017-01-01,2016,52,0.0,2017-01-02,0.0,33.08,13.005714285714287,22.117142857142856,24.467142857142857
Bagalkot,2017-01-02,2017-01-08,2017,1,0.0,2017-01-09,0.0,31.532857142857143,13.204285714285716,21.618571428571425,38.92
Bagalkot,2017-01-09,2017-01-15,2017,2,0.0,2017-01-16,0.0,31.587142857142855,12.792857142857144,21.55,30.174285714285716
Bagalkot,2017-01-16,2017-01-22,2017,3,0.0,2017-01-23,0.0,30.69142857142857,14.704285714285714,22.397142857142857,41.87428571428571
Bagalkot,2017-01-23,2017-01-29,2017,4,0.0,2017-01-30,0.0,31.717142857142857,15.388571428571428,23.072857142857146,40.34571428571429
Bagalkot,2017-01-30,2017-02-05,2017,5,0.0,2017-02-06,0.0,32.832857142857144,17.384285714285713,24.608571428571427,40.01285714285715
Bagalkot,2017-02-06,2017-02-12,2017,6,0.0,2017-02-13,0.0,34.04714285714286,15.802857142857144,24.57,28.978571428571428
Bagalkot,2017-02-13,2017-02-19,2017,7,0.0,2017-02-20,0.0,34.33142857142857,16.202857142857145,24.67142857142857,27.928571428571427
Bagalkot,2017-02-20,2017-02-26,2017,8,0.0,2017-02-27,0.0,34.651428571428575,16.40142857142857,25.10571428571429,31.43428571428572
Bagalkot,2017-02-27,2017-03-05,2017,9,0.0,2017-03-06,0.0,37.21142857142858,17.40142857142857,26.987142857142857,22.937142857142856
Bagalkot,2017-03-06,2017-03-12,2017,10,0.0,2017-03-13,0.0,36.99142857142857,17.484285714285715,27.110000000000003,27.18285714285714
Bagalkot,2017-03-13,2017-03-19,2017,11,11.117775115701887,2017-03-20,0.0,36.57571428571429,17.05857142857143,26.66857142857143,32.38428571428572
Bagalkot,2017-03-20,2017-03-26,2017,12,0.0,2017-03-27,8.69,36.96714285714285,19.874285714285715,28.31142857142857,36.60142857142857
Bagalkot,2017-03-27,2017-04-02,2017,13,0.0445993509557512,2017-04-03,0.0,38.98857142857143,20.97714285714286,29.974285714285717,28.94857142857143
Bagalkot,2017-04-03,2017-04-09,2017,14,0.0,2017-04-10,0.05,40.08571428571429,23.648571428571422,32.08571428571428,34.07142857142857
Bagalkot,2017-04-10,2017-04-16,2017,15,0.0,2017-04-17,0.03,40.65,23.412857142857145,32.18,30.97714285714286
Bagalkot,2017-04-17,2017-04-23,2017,16,0.0,2017-04-24,0.02,41.21,22.422857142857143,31.667142857142856,29.821428571428573
Bagalkot,2017-04-24,2017-04-30,2017,17,6.970765128731728,2017-05-01,0.0,41.184285714285714,22.16142857142857,31.56,36.32428571428572
Bagalkot,2017-05-01,2017-05-07,2017,18,4.843091032571262,2017-05-08,6.369999999999999,39.737142857142864,23.768571428571427,32.07857142857143,31.45285714285714
Bagalkot,2017-05-08,2017-05-14,2017,19,29.7596097389857,2017-05-15,8.6,39.61571428571428,25.24857142857143,32.44571428571429,41.77285714285714
Bagalkot,2017-05-15,2017-05-21,2017,20,25.21674267450968,2017-05-22,13.4,37.69285714285714,24.46857142857143,30.74857142857143,50.65857142857143
Bagalkot,2017-05-22,2017-05-28,2017,21,0.0,2017-05-29,0.02,39.55285714285714,23.9,31.388571428571428,46.82428571428572
Bagalkot,2017-05-29,2017-06-04,2017,22,0.7576153683993552,2017-06-05,1.5,39.271428571428565,25.285714285714285,31.734285714285715,47.14142857142857
Bagalkot,2017-06-05,2017-06-11,2017,23,28.035783557428257,2017-06-12,7.460000000000001,36.46428571428572,24.09,29.482857142857146,60.07714285714286
Bagalkot,2017-06-12,2017-06-18,2017,24,32.363585283358894,2017-06-19,37.84,32.15857142857143,22.464285714285715,26.358571428571427,70.49857142857142
Bagalkot,2017-06-19,2017-06-25,2017,25,17.759144067764282,2017-06-26,33.89,31.715714285714284,22.187142857142856,26.19,73.71714285714286
Bagalkot,2017-06-26,2017-07-02,2017,26,3.719049758381314,2017-07-03,6.05,32.16142857142857,22.82857142857143,26.66,72.59285714285714
Bagalkot,2017-07-03,2017-07-09,2017,27,3.597800884809759,2017-07-10,7.59,31.40142857142857,22.804285714285715,26.367142857142856,73.62285714285714
Bagalkot,2017-07-10,2017-07-16,2017,28,12.243219996492067,2017-07-17,30.84,31.39428571428571,22.072857142857146,25.89,73.69571428571429
Bagalkot,2017-07-17,2017-07-23,2017,29,11.55846733517117,2017-07-24,7.71,30.23,21.91142857142857,25.337142857142855,75.49428571428572
Bagalkot,2017-07-24,2017-07-30,2017,30,2.0269734578000174,2017-07-31,29.83,30.447142857142858,22.31142857142857,25.65,76.48285714285714
Bagalkot,2017-07-31,2017-08-06,2017,31,2.579800002276897,2017-08-07,3.76,32.44,21.84714285714286,26.235714285714288,72.39714285714285
Bagalkot,2017-08-07,2017-08-13,2017,32,10.244049085511104,2017-08-14,20.17,32.38285714285714,21.99,26.16714285714286,73.24142857142856
Bagalkot,2017-08-14,2017-08-20,2017,33,14.936908738480676,2017-08-21,16.38,31.52857142857143,21.64,25.764285714285712,73.96285714285715
Bagalkot,2017-08-21,2017-08-27,2017,34,14.502053116758663,2017-08-28,19.38,30.08714285714285,21.327142857142857,24.95285714285714,74.99857142857142
Bagalkot,2017-08-28,2017-09-03,2017,35,14.486200150516298,2017-09-04,29.88,31.585714285714285,21.897142857142857,25.802857142857142,76.42999999999999
Bagalkot,2017-09-04,2017-09-10,2017,36,81.60945583217674,2017-09-11,8.81,32.41285714285714,21.59714285714286,26.18857142857143,73.0957142857143
